Brand,Description,Size,YearMonth,UnitsSold,Revenue,UnitsReceived,PurchaseCost,SupplyGap,CoverRatio,PlanningStatus
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-10,422,10545.779999999999,410.0,6781.4,-12.0,0.97,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-11,424,10595.76,487.0,8054.98,63.0,1.15,Well Balanced
4385,Parrot Bay 90 Coconut Capt,1.75L,2024-12,545,13619.55,479.0,7922.66,-66.0,0.88,Well Balanced
4386,Casa Noble Reposado,750mL,2024-01,58,2609.42,192.0,6593.28,134.0,3.31,Over-Ordered
4386,Casa Noble Reposado,750mL,2024-02,73,3284.27,93.0,3193.62,20.0,1.27,Well Balanced
4386,Casa Noble Reposado,750mL,2024-03,71,3194.29,169.0,5803.46,98.0,2.38,Over-Ordered
4386,Casa Noble Reposado,750mL,2024-04,44,1979.5600000000002,30.0,1030.2,-14.0,0.68,Under-Ordered
4386,Casa Noble Reposado,750mL,2024-05,71,3199.29,72.0,2472.48,1.0,1.01,Well Balanced
4386,Casa Noble Reposado,750mL,2024-06,71,3549.29,57.0,1957.38,-14.0,0.8,Well Balanced
4386,Casa Noble Reposado,750mL,2024-07,73,3339.27,57.0,1957.3799999999999,-16.0,0.78,Under-Ordered
4386,Casa Noble Reposado,750mL,2024-08,24,1199.76,36.0,1236.24,12.0,1.5,Well Balanced
4386,Casa Noble Reposado,750mL,2024-09,35,1749.65,29.0,995.86,-6.0,0.83,Well Balanced
4386,Casa Noble Reposado,750mL,2024-10,52,2359.48,32.0,1098.8799999999999,-20.0,0.62,Under-Ordered
4386,Casa Noble Reposado,750mL,2024-11,40,1999.6000000000001,35.0,1201.8999999999999,-5.0,0.88,Well Balanced
4386,Casa Noble Reposado,750mL,2024-12,65,2949.35,36.0,1236.24,-29.0,0.55,Under-Ordered
4387,Allens Coffee Brandy Trv,750mL,2024-01,14,118.86,0.0,0.0,-14.0,0.0,No Replenishment
4387,Allens Coffee Brandy Trv,750mL,2024-02,4,33.96,0.0,0.0,-4.0,0.0,No Replenishment
4387,Allens Coffee Brandy Trv,750mL,2024-04,1,8.49,0.0,0.0,-1.0,0.0,No Replenishment
4387,Allens Coffee Brandy Trv,750mL,2024-05,6,50.94,0.0,0.0,-6.0,0.0,No Replenishment
4387,Allens Coffee Brandy Trv,750mL,2024-06,1,8.49,0.0,0.0,-1.0,0.0,No Replenishment
4387,Allens Coffee Brandy Trv,750mL,2024-08,2,16.98,0.0,0.0,-2.0,0.0,No Replenishment
4387,Allens Coffee Brandy Trv,750mL,2024-09,2,16.98,0.0,0.0,-2.0,0.0,No Replenishment
4387,Allens Coffee Brandy Trv,750mL,2024-12,3,25.47,0.0,0.0,-3.0,0.0,No Replenishment
4389,Amaro Montenegro Liqueur,750mL,2024-01,64,1687.36,79.0,1306.6599999999999,15.0,1.23,Well Balanced
4389,Amaro Montenegro Liqueur,750mL,2024-02,73,1970.27,40.0,661.5999999999999,-33.0,0.55,Under-Ordered
4389,Amaro Montenegro Liqueur,750mL,2024-03,82,2213.18,105.0,1736.7,23.0,1.28,Well Balanced
4389,Amaro Montenegro Liqueur,750mL,2024-04,71,1664.29,34.0,562.36,-37.0,0.48,Under-Ordered
4389,Amaro Montenegro Liqueur,750mL,2024-05,93,2138.0699999999997,104.0,1720.1599999999999,11.0,1.12,Well Balanced
4389,Amaro Montenegro Liqueur,750mL,2024-06,60,1619.3999999999999,41.0,678.14,-19.0,0.68,Under-Ordered
4389,Amaro Montenegro Liqueur,750mL,2024-07,62,1520.3799999999999,63.0,1042.02,1.0,1.02,Well Balanced
4389,Amaro Montenegro Liqueur,750mL,2024-08,71,1916.29,67.0,1108.18,-4.0,0.94,Well Balanced
4389,Amaro Montenegro Liqueur,750mL,2024-09,102,2404.98,78.0,1290.12,-24.0,0.76,Under-Ordered
4389,Amaro Montenegro Liqueur,750mL,2024-10,88,2023.12,109.0,1802.86,21.0,1.24,Well Balanced
